domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
eyesurgerycenterofthecarolinas.com,eyesurgerycenterofthecarolinas.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('eyesurgerycenterofthecarolinas.com does not have a SPF TXT record ', 'eyesurgerycenterofthecarolinas.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
fairhaventc.com,fairhaventc.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,fairhaventc.com,,,,,,,edns4.ultradns.net|edns4.ultradns.com|epla2.corpnamesvcs.com|epla1.corpnamesvcs.com|edns4.ultradns.org|edns4.ultradns.biz,,
firstfamilyinsurance.com,firstfamilyinsurance.com,False,True,False,,,,,,,,,,,"10, mail.firstfamilyinsurance.com",,,v=spf1 ip4:34.235.13.219 ip4:173.244.184.228 ip4:173.244.184.247 ip4:64.79.65.130 ip4:63.226.138.11 ip4:63.226.138.12 include:amazonses.com include:jangomail.com ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
firstriskadvisors.com,firstriskadvisors.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"0, mail1.corpmailsvcs.com|0, mail10.corpmailsvcs.com|0, mail11.corpmailsvcs.com|0, mail128.corpmailsvcs.com|0, mail131.corpmailsvcs.com|0, mail134.corpmailsvcs.com|0, mail17.corpmailsvcs.com|0, mail2.corpmailsvcs.com|0, mail20.corpmailsvcs.com|0, mail21.corpmailsvcs.com|0, mail27.corpmailsvcs.com|0, mail30.corpmailsvcs.com|0, mail33.corpmailsvcs.com|0, mail36.corpmailsvcs.com|0, mail50.corpmailsvcs.com|0, mail51.corpmailsvcs.com",,,v=spf1 include:spf.protection.outlook.com include:spf.constantcontact.com include:helpscoutemail.com include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,firstriskadvisors.com,,,,,,,edns4.ultradns.com|edns4.ultradns.org|epla2.corpnamesvcs.com|epla1.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.net,,
fortifiedprovider.com,fortifiedprovider.com,False,False,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 MX include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com include:spf.zixsmbhosted.com include:fortifiedprovider-com.spf.smtp25.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,fortifiedprovider.com,,,fortifiedprovider.com has more than 10 MX records - https://tools.ietf.org/html/rfc7208#section-4.6.4,,,,dns1.cscdns.net|dns2.cscdns.net,,
franklinsurgical.com,franklinsurgical.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('franklinsurgical.com does not have a SPF TXT record ', 'franklinsurgical.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
g1surgery.com,g1surgery.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com|mailto:dmarcfailure@scasurgery.com,none,"0, mailrnh.corpmailsvcs.com",,,v=spf1 include:Spf.protection.outlook.com include:Spf.constantcontact.com include:_spfae.corpmailsvcs.com  -all,"v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,mailto:dmarcfailure@scasurgery.com",g1surgery.com,,,,,,"scasurgery.com does not indicate that it accepts DMARC reports about g1surgery.com - Authorization record not found: g1surgery.com._report._dmarc.scasurgery.com ""                     IN TXT ""v=DMARC1""",ns17.domaincontrol.com|ns18.domaincontrol.com,,
genoahealthcare.com,genoahealthcare.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:44.225.214.106 include:_spfv4fw.corpmailsvcs.com include:_spfv4rnh.corpmailsvcs.com include:servers.mcsv.net include:_spf.votervoice.net include:spf.mandrillapp.com include:spf.protection.outlook.com ip4:52.40.63.42 ip4:52.40.63.40 ip4:52.40.63.41 ip4:52.88.240.251 ip4:52.40.63.27 ip4:52.40.63.5 ip4:52.40.63.29 ip4:52.174.52.0/24 ip4:54.174.63.0/24 ~all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,genoahealthcare.com,,,,,,,ns-1362.awsdns-42.org|ns-1917.awsdns-47.co.uk|ns-238.awsdns-29.com|ns-902.awsdns-48.net,,
gethealthinsurance.com,gethealthinsurance.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,gethealthinsurance.com,,,,,,,epla2.corpnamesvcs.com|epla1.corpnamesvcs.com,,
glenwoodsurgerycenter.com,glenwoodsurgerycenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('glenwoodsurgerycenter.com does not have a SPF TXT record ', 'glenwoodsurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
goldentrianglesurgicenter.com,goldentrianglesurgicenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('goldentrianglesurgicenter.com does not have a SPF TXT record ', 'goldentrianglesurgicenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
gpsurgerycenter.com,gpsurgerycenter.com,False,True,False,,,,,,,,,,,"0, gpsurgerycenter-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,dns101.register.com|dns102.register.com,,
hayssurgerycenter.com,hayssurgerycenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('hayssurgerycenter.com does not have a SPF TXT record ', 'hayssurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
hcentive.com,hcentive.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mail10.corpmailsvcs.com|0, mail11.corpmailsvcs.com|0, mail128.corpmailsvcs.com|0, mail131.corpmailsvcs.com|0, mail134.corpmailsvcs.com|0, mail17.corpmailsvcs.com|0, mail2.corpmailsvcs.com|0, mail20.corpmailsvcs.com|0, mail21.corpmailsvcs.com|0, mail27.corpmailsvcs.com|0, mail30.corpmailsvcs.com|0, mail33.corpmailsvcs.com|0, mail36.corpmailsvcs.com|0, mail50.corpmailsvcs.com|0, mail51.corpmailsvcs.com",,,v=spf1 include:amazonses.com include:spf.protection.outlook.com ip4:54.175.142.152 ip4:203.122.17.37 ip4:14.141.23.154 ip4:208.185.235.45 ip4:52.87.119.124 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,hcentive.com,,,,,,,ns-1352.awsdns-41.org|ns-1786.awsdns-31.co.uk|ns-468.awsdns-58.com|ns-637.awsdns-15.net,,
healthcareassociates.com,healthcareassociates.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com include:spf-002d8b01.pphosted.com include:res.cisco.com ~all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,healthcareassociates.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.141.231 is mail101.corpmailsvcs.com, but the A/AAAA DNS records for mail101.corpmailsvcs.com do not resolve to 149.111.141.231",,,,,dns3.name-services.com|dns1.name-services.com|dns4.name-services.com|dns2.name-services.com|dns5.name-services.com,,
healthgrades.com,healthgrades.com,False,True,True,s,s,1,reject,100,a:f:r:f,86400,mailto:ne5tw8jz@ag.us.dmarcian.com,mailto:ne5tw8jz@fr.us.dmarcian.com,reject,"10, healthgrades-com.mail.protection.outlook.com",,,v=spf1 include:spf.workfront.com include:_spf.google.com include:spf.protection.outlook.com ip4:198.243.35.0/24 ip4:149.72.184.221 ip4:216.71.154.149 ip4:216.71.150.46 include:spf.openair.com include:spf.openair1.com include:spf.mandrillapp.com -all,v=DMARC1; p=reject; rua=mailto:ne5tw8jz@ag.us.dmarcian.com; ruf=mailto:ne5tw8jz@fr.us.dmarcian.com; adkim=s; aspf=s; fo=1;,healthgrades.com,,,,,,,ns-1102.awsdns-09.org|ns-1962.awsdns-53.co.uk|ns-202.awsdns-25.com|ns-846.awsdns-41.net,,
healthmarkets.com,healthmarkets.com,True,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:hmdmarc@healthmarkets.com,mailto:hmdmarc@healthmarkets.com,none,"1, aspmx.l.google.com|5, alt1.aspmx.l.google.com|5, alt2.aspmx.l.google.com|10, alt3.aspmx.l.google.com|10, alt4.aspmx.l.google.com",,,v=spf1 mx ip4:74.125.148.0/22 ip4:75.31.122.88 ip4:75.31.122.56 ip4:199.15.214.9 ip4:75.31.122.195 ip4:75.31.122.196 ip4:208.85.54.180  ip4:75.31.122.32/30 include:mktomail.com include:sendgrid.net include:_spf.google.com ~all,v=DMARC1;p=none;sp=none;rua=mailto:hmdmarc@healthmarkets.com;ruf=mailto:hmdmarc@healthmarkets.com;fo=1,healthmarkets.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 2607:f8b0:400c:c08::1a is ua-in-x1a.1e100.net, but the A/AAAA DNS records for ua-in-x1a.1e100.net do not resolve to 2607:f8b0:400c:c08::1a|2800:3f0:4003:c00::1b does not have any reverse DNS (PTR) records",,,,,ns0.dnsmadeeasy.com|ns1.dnsmadeeasy.com|ns2.dnsmadeeasy.com|ns3.dnsmadeeasy.com|ns4.dnsmadeeasy.com,,
healthmarketsinc.com,healthmarketsinc.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('healthmarketsinc.com does not have a SPF TXT record ', 'healthmarketsinc.com')",,A DMARC record does not exist for this domain or its base domain,,pdns13.domaincontrol.com|pdns14.domaincontrol.com,,
healthplanofnevada.com,healthplanofnevada.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,healthplanofnevada.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.203.174.9 is mail1.corpmailsvcs.com, but the A/AAAA DNS records for mail1.corpmailsvcs.com do not resolve to 198.203.174.9",,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com,,
healthplex.com,healthplex.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"5, mail1.corpmailsvcs.com|5, mail10.corpmailsvcs.com|5, mail11.corpmailsvcs.com|5, mail128.corpmailsvcs.com|5, mail131.corpmailsvcs.com|5, mail134.corpmailsvcs.com|5, mail17.corpmailsvcs.com|5, mail2.corpmailsvcs.com|5, mail20.corpmailsvcs.com|5, mail21.corpmailsvcs.com|5, mail27.corpmailsvcs.com|5, mail30.corpmailsvcs.com|5, mail33.corpmailsvcs.com|5, mail36.corpmailsvcs.com|5, mail50.corpmailsvcs.com|5, mail51.corpmailsvcs.com",,,v=spf1 ip4:74.119.228.111 include:us._netblocks.mimecast.com include:spf.protection.outlook.com include:_spfv4.corpmailsvcs.com  -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,healthplex.com,,,,,,,dns1.cscdns.net|dns2.cscdns.net,,
healthsafe-id.com,healthsafe-id.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,healthsafe-id.com,,,,,,,epla2.corpnamesvcs.com|epla1.corpnamesvcs.com,,
healthscopebenefits.com,healthscopebenefits.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail1b.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:spf.secureserver.net include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,healthscopebenefits.com,,,,,,,edns4.ultradns.org|edns4.ultradns.net|edns4.ultradns.com|edns4.ultradns.biz|epla2.corpnamesvcs.com|epla1.corpnamesvcs.com,,
heartlandhv.com,heartlandhv.com,False,True,False,,,,,,,,,,,"10, mx10.mailspamprotection.com|20, mx20.mailspamprotection.com|30, mx30.mailspamprotection.com",,,v=spf1 +a +mx +a:ns1.brandtackle.com include:_spf.mailspamprotection.com ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns2.brandtackle.com|ns1.brandtackle.com,,
helpseguros.cl,helpseguros.cl,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:186.148.5.235 ip4:104.41.51.31 include:spf.masterbase.com include:spf.mandrillapp.com ip4:186.148.4.131 ip4:186.148.4.130 include:spf.protection.outlook.com include:_spfae.corpmailsvcs.com -all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,helpseguros.cl,,,,,,,ns1-01.azure-dns.com|ns2-01.azure-dns.net|ns3-01.azure-dns.org|ns4-01.azure-dns.info,,
hospitalalvorada.com.br,hospitalalvorada.com.br,True,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com|mailto:dmarcuhgbr@uhgbrasil.com.br,reject,"1, mailbr.corpmailsvcs.com",,,v=spf1 ip4:45.172.48.0/22 ip4:129.146.91.38 ip4:129.146.232.229 include:_spfv4.corpmailsvcs.com include:spf.us.exclaimer.net include:spf.protection.outlook.com -all,"v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,mailto:dmarcuhgbr@uhgbrasil.com.br",hospitalalvorada.com.br,,,,,,"uhgbrasil.com.br does not indicate that it accepts DMARC reports about hospitalalvorada.com.br - Authorization record not found: hospitalalvorada.com.br._report._dmarc.uhgbrasil.com.br ""                     IN TXT ""v=DMARC1""",dnsext04.amilonline.com.br|dnsext03.amilonline.com.br|dnsext01.amilonline.com.br|dnsext02.amilonline.com.br,,
hospitaljacarepagua.com.br,hospitaljacarepagua.com.br,True,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com|mailto:dmarcuhgbr@uhgbrasil.com.br,reject,"10, mailbr.corpmailsvcs.com",,,v=spf1 ip4:45.172.48.0/22 ip4:129.146.91.38 ip4:129.146.232.229 include:_spfv4.corpmailsvcs.com include:spf.us.exclaimer.net include:spf.protection.outlook.com -all,"v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,mailto:dmarcuhgbr@uhgbrasil.com.br",hospitaljacarepagua.com.br,,,,,,"uhgbrasil.com.br does not indicate that it accepts DMARC reports about hospitaljacarepagua.com.br - Authorization record not found: hospitaljacarepagua.com.br._report._dmarc.uhgbrasil.com.br ""                     IN TXT ""v=DMARC1""",dnsext04.amilonline.com.br|dnsext03.amilonline.com.br|dnsext01.amilonline.com.br|dnsext02.amilonline.com.br,,
houstonorthospine.com,houstonorthospine.com,False,True,False,,,,,,,,,,,"0, houstonorthospine-com.mail.protection.outlook.com",,,v=spf1 include:secureserver.net -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns45.domaincontrol.com|ns46.domaincontrol.com,,
hygeia.net,hygeia.net,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,hygeia.net,,,,,,,epla2.corpnamesvcs.com|epla1.corpnamesvcs.com,,
ibhpsych.com,ibhpsych.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,ibhpsych.com,,,,,,,edns4.ultradns.org|edns4.ultradns.net|edns4.ultradns.com|edns4.ultradns.biz|epla2.corpnamesvcs.com|epla1.corpnamesvcs.com,,
inlandsurgerycenter.com,inlandsurgerycenter.com,False,False,False,,,,,,,,,,,"0, smtp.secureserver.net|10, mailstore1.secureserver.net",,,,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 68.178.213.243 is 243.213.178.68.host.secureserver.net, but the A/AAAA DNS records for 243.213.178.68.host.secureserver.net do not resolve to 68.178.213.243","('inlandsurgerycenter.com does not have a SPF TXT record ', 'inlandsurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
inov8surgical.com,inov8surgical.com,False,True,False,,,,,,,,,,,"10, inov8surgical.com.1.0001.arsmtp.com|20, inov8surgical.com.2.0001.arsmtp.com",,,v=spf1 include:appriver.com ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,dns2.name-services.com|dns3.name-services.com|dns4.name-services.com|dns1.name-services.com|dns5.name-services.com,,
intermountainhealthcare.org,intermountainhealthcare.org,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,"10, mxa-001cd001.gslb.pphosted.com|10, mxb-001cd001.gslb.pphosted.com",,,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,intermountainhealthcare.org,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 205.220.166.61 is mx0a-001cd001.pphosted.com, but the A/AAAA DNS records for mx0a-001cd001.pphosted.com do not resolve to 205.220.166.61",,,,,tethys.ihc.com|dali.ihc.com|tn-email1.ihc.com,,
intouchpharma.com,intouchpharma.com,False,True,False,,,,,,,,,,,"0, intouchpharma-com.mail.protection.outlook.com",,,v=spf1 ip4:66.11.98.32/28 ip4:50.205.103.96/27 include:spf.protection.outlook.com include:sendgrid.net -all,,,,52.101.8.36 does not have any reverse DNS (PTR) records|52.101.9.17 does not have any reverse DNS (PTR) records,,,A DMARC record does not exist for this domain or its base domain,,ns1-05.azure-dns.com|ns2-05.azure-dns.net|ns3-05.azure-dns.org|ns4-05.azure-dns.info,,
kecendo.com,kecendo.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:e9fbkgxn@ag.c1.dmarcian.com,mailto:e9fbkgxn@fr.c1.dmarcian.com,reject,,,,v=spf1 -all,v=DMARC1; p=reject; rua=mailto:e9fbkgxn@ag.c1.dmarcian.com; ruf=mailto:e9fbkgxn@fr.c1.dmarcian.com;,kecendo.com,,No MX records found. Is the domain parked?,,,,,pdns11.domaincontrol.com|pdns12.domaincontrol.com,,
kelseycareadvantage.com,kelseycareadvantage.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:dmarc_rua@emaildefense.proofpoint.com|mailto:unitedhealthgroup@rua.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com|mailto:unitedhealthgroup@ruf.agari.com,none,"10, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:216.205.90.92 ip4:12.19.100.11 include:spf-00072e01.pphosted.com include:_spfae.corpmailsvcs.com include:sendgrid.net include:437580.spf04.hubspotemail.net include:servers.mcsv.net include:_spf.salesforce.com -all,"v=DMARC1; p=reject; sp=none; fo=1; ri=3600; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:unitedhealthgroup@ruf.agari.com",kelseycareadvantage.com,,,,,,,extns1.ksnet.com|extns2.ksnet.com,,
